Key,Category,Sub Category,Sub Sub Category
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F3_IMG2_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F2_IMG0_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F3_IMG0_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F3_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F2_IMGALL_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F3_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F2_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F4_IMG4_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F3_IMG5_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F3_IMG2_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F3_IMG0_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F2_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F0_IMG2_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_SPA_F3_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F3_IMG3_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F3_IMG3_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F2_IMG5_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F2_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_MC_F2_IMG3_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_RXCM_F2_IMG0_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F3_IMG0_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F2_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F2_IMG0_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F2_IMG0_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F4_IMG4_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F4_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F3_IMG4_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F0_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F0_IMG0_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F0_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F3_IMG4_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F2_IMG5_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F0_IMG4_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F0_IMG1_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F4_IMG5_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F4_IMG4_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F2_IMG2_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F2_IMG0_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F1_IMG4_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F1_IMG3_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F0_IMG3_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F0_IMG2_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F0_IMG0_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_SPA_F4_IMG5_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_SPA_F2_IMG5_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_SPA_F2_IMG1_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_SPA_F2_IMG1_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_SPA_F2_IMG0_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_SPA_F1_IMG5_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F4_IMG5_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F1_IMG3_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F1_IMG2_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F1_IMG0_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F0_IMG0_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_MC_F4_IMG3_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_MC_F4_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_MC_F4_IMG0_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_MC_F3_IMG3_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_MC_F3_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_MC_F0_IMG0_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_SPA_F4_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_SPA_F4_IMG0_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_SPA_F3_IMGUI_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_SPA_F2_IMGALL_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_SPA_F0_IMGALL_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_SPA_F0_IMG0_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_SPA_F0_IMG0_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_RXCM_F4_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_RXCM_F4_IMG0_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_RXCM_F3_IMGUI_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_RXCM_F3_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F4_IMG3_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F1_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F0_IMG0_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F0_IMG0_REG04,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F0_IMG4_REG01,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F0_IMG0_REG02,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F0_IMG0_REG01,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F0_IMG3_REG01,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F0_IMG2_REG01,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F0_IMG0_REG01,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F2_IMG0_REG01,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F0_IMG4_REG02,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F0_IMG3_REG02,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^B_ResDTX_RXCM_F2_IMG3_REG13,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F3_IMG3_REG01,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F0_IMG5_REG02,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F0_IMG5_REG01,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F0_IMG2_REG02,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F0_IMG1_REG01,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F2_IMG1_REG01,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F4_IMG0_REG01,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^B_ResDTX_MC_F2_IMG4_REG05,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F4_IMG3_REG03,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F4_IMG3_REG01,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F4_IMG0_REG01,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F3_IMG4_REG01,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F3_IMG3_REG02,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F2_IMG3_REG04,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F2_IMG3_REG01,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F2_IMG1_REG02,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F2_IMG0_REG02,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F0_IMG1_REG03,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTX_MC_F0_IMG0_REG02,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F4_IMG4_REG01,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F3_IMG0_REG01,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F0_IMG1_REG02,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^M_ResDTN_MC_F0_IMG0_REG09,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^B_ResDTX_RXCM_F2_IMG3_REG14,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^B_ResDTX_MC_F3_IMG4_REG05,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^B_ResDTX_MC_F2_IMG3_REG02,DTN/DTX,DTX,ResDTX
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^B_ResDTN_RXCM_F4_IMGUI_REG14,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RES_OOS_2057^^B_ResDTN_RXCM_F4_IMGUI_REG13,DTN/DTX,DTN,ResDTN
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_AEM_SIG01_F2_REG13_Max,DTN/DTX,DTN,DTN_ShapeSuitability_AEM
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_TR_SIG99_F0,DTN/DTX,DTN,DTN_ShapeSuitability_TR
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_AEM_SIG00_F2_REG13_Max,DTN/DTX,DTN,DTN_ShapeSuitability_AEM
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_AEM_SIG02_F2_REG13_Max,DTN/DTX,DTN,DTN_ShapeSuitability_AEM
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_AEM_SIG34_F0_REG14_Max,DTN/DTX,DTN,DTN_ShapeSuitability_AEM
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_AEM_SIG02_F0_REG13_Max,DTN/DTX,DTN,DTN_ShapeSuitability_AEM
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_AEM_SIG01_F1_REG13_Max,DTN/DTX,DTN,DTN_ShapeSuitability_AEM
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_AEM_SIG33_F2_REG14_Max,DTN/DTX,DTN,DTN_ShapeSuitability_AEM
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_AEM_SIG00_F1_REG13_Max,DTN/DTX,DTN,DTN_ShapeSuitability_AEM
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_TR_SIG99_F2,DTN/DTX,DTN,DTN_ShapeSuitability_TR
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_AEM_SIG28_F3_REG13_Max,DTN/DTX,DTN,DTN_ShapeSuitability_AEM
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_AEM_SIG16_F0_REG14_Max,DTN/DTX,DTN,DTN_ShapeSuitability_AEM
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_AEM_SIG02_F0_REG14_Max,DTN/DTX,DTN,DTN_ShapeSuitability_AEM
FINAL_RESULT_FLAG^^DTN_RR_SPA_CMRX_OOS_2066^^ShapeSuitability_AEM_SIG01_F0_REG13_Max,DTN/DTX,DTN,DTN_ShapeSuitability_AEM
FINAL_RESULT_FLAG^^DTN_VEC_OOS_2055^^SVector_RXCM_F0_S1_ROW02,DTN/DTX,DTN,DTN_VEC
FINAL_RESULT_FLAG^^EepromDataLengthMismatch_1115^^NA,Eeprom,EepromDataLengthMismatch,EepromDataLengthMismatch
FINAL_RESULT_FLAG^^EepromReadFailed_1111^^NA,Eeprom,EepromReadFailed,EepromReadFailed
FINAL_RESULT_FLAG^^EepromTableInvalidChecksum_1116^^NA,Eeprom,EepromTableInvalidChecksum,EepromTableInvalidChecksum
FINAL_RESULT_FLAG^^EepromWriteFailed_1110^^NA,Eeprom,EepromWriteFailed,EepromWriteFailed
FINAL_RESULT_FLAG^^FailedToCreateHdf5Datastore_2010^^NA,FailedToCreateHdf5Datastore,FailedToCreateHdf5Datastore,FailedToCreateHdf5Datastore
FINAL_RESULT_FLAG^^FailedToFindMtDevice_1011^^NA,FailedToFindMtDevice,FailedToFindMtDevice,FailedToFindMtDevice
FINAL_RESULT_FLAG^^FailedToFlashDutFw_1047^^NA,FailedToFlashDutFw,FailedToFlashDutFw,FailedToFlashDutFw
FINAL_RESULT_FLAG^^FailedToGetReport_1085^^NA,FailedToGetReport,FailedToGetReport,FailedToGetReport
FINAL_RESULT_FLAG^^FailedToOpenFile_1014^^NA,FailedToOpenFile,FailedToOpenFile,FailedToOpenFile
FINAL_RESULT_FLAG^^FailedToOpenNoRetestFile_1199^^NA,FailedToOpenNoRetestFile,FailedToOpenNoRetestFile,FailedToOpenNoRetestFile
FINAL_RESULT_FLAG^^FailedToSetReport_1086^^NA,FailedToSetReport,FailedToSetReport,FailedToSetReport
FINAL_RESULT_FLAG^^FailToReceiveDriftAlarm_2096^^NA,DriftAlarm,FailToReceiveDriftAlarm,FailToReceiveDriftAlarm
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F0_INT_Uniformity_Bot,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal_Uniformity
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F0_BE_Error,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Error
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F0_INT_Ratio_Meas,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Ratio
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F0_LE_Error,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Error
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F0_MC_Median_Gain,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Ratio
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F0_INT_Uniformity_Top,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal_Uniformity
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F0_TE_Error,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Error
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F2_INT2TC_Error,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Error
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F2_TCINT_Ratio,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Ratio
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F0_RE_Error,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Error
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F0_TCINT_Ratio,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Ratio
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_Raw_F0_R31C05,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Raw
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F4_INT_Uniformity_Bot,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal_Uniformity
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F2_BE_Error,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Error
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F2_MC_Median_Gain,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Ratio
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F3_INT_Uniformity_Bot,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal_Uniformity
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F2_RE_Error,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Error
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_Raw_F0_R32C05,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Raw
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F4_INT_Ratio_Meas,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Ratio
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F2_INT_Uniformity_Top,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal_Uniformity
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F4_BE_Error,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Error
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F2_INT_Uniformity_Bot,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal_Uniformity
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F3_INT2TC_Error,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Error
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F2_INT_Ratio_Meas,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Ratio
FINAL_RESULT_FLAG^^FSCalErrorItems_OOS_2026^^FSProbe_Cal_F4_INT2TC_Error,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Error
