Key,Category,Sub Category,Sub Sub Category
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^FSProbe_Cal_F0_TCINT_Ratio,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Ratio
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^FSProbe_Cal_F0_MC_Median_Gain,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Ratio
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^FSProbe_Cal_F0_LE_Error,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Error
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^FSProbe_Cal_F0_INT_Uniformity_All,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal_Uniformity
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^FSProbe_Cal_F0_INT2TC_Error,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal Error
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^FSProbe_CalTest_F3_LE_Uniformity,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal_Uniformity
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^DSP_VBAT_Curr_IMG4_mA,Power Test,Power Test_VBAT,Power Test_VBAT
FINAL_RESULT_FLAG^^AID_SelfTestReturnedNoResults_1154^^NA,Tester/DUT Setup,Tester/DUT Setup_AID,Tester/DUT Setup_AID
FINAL_RESULT_FLAG^^AID_SelfTestReturnedNoResults_1154^^DSP_VBAT_Curr_PowerOn_mA,Power Test,Power Test_VBAT,Power Test_VBAT
FINAL_RESULT_FLAG^^AID_SelfTestReturnedNoResults_1154^^PWR_ACT_F4_I_PP5V1_mA,Power Test,Power Test_Active Power,Power Test_Active Power
FINAL_RESULT_FLAG^^AID_SelfTestReturnedNoResults_1154^^M_ProjCoef_MEAN_RXCM_F4_IMG3_S1,DTN/DTX,DTN/DTX_ProjCoef_RXCM,DTN/DTX_ProjCoef_RXCM_IMG3
FINAL_RESULT_FLAG^^AID_SelfTestReturnedNoResults_1154^^CRI_ERR_PostTest,Tester/DUT Setup,Tester/DUT Setup_ERR,Tester/DUT Setup_ERR_ERR
FINAL_RESULT_FLAG^^AwsDataCaptureFailed_1170^^NA,Aws,Aws,Aws
FINAL_RESULT_FLAG^^CarrierChangedInTest_1058^^NA,Carrier,CarrierChangedInTest,CarrierChangedInTest
FINAL_RESULT_FLAG^^CarrierConsecutiveFailLock_1055^^NA,Carrier,CarrierConsecutiveFailLock,CarrierConsecutiveFailLock
FINAL_RESULT_FLAG^^CarrierEEPROMReadFail_1053^^NA,Carrier,CarrierEEPROM,CarrierEEPROMRead
FINAL_RESULT_FLAG^^CarrierEEPROMWriteFail_1054^^NA,Carrier,CarrierEEPROM,CarrierEEPROMWrite
FINAL_RESULT_FLAG^^CheckDisplayBoardVersionFailed_1225^^NA,CheckDisplayBoardVersion,CheckDisplayBoardVersion,CheckDisplayBoardVersion
FINAL_RESULT_FLAG^^CommToDDServerWithReturnError_2098^^NA,CommToDDServerWithReturnError,CommToDDServerWithReturnError,CommToDDServerWithReturnError
FINAL_RESULT_FLAG^^ConnDDServerTimtout_2091^^NA,ConnDDServerTimtout,ConnDDServerTimtout,ConnDDServerTimtout
FINAL_RESULT_FLAG^^CritialErrAfeBorwnOutFailed_1181^^CRI_ERR_PostTest,Tester/DUT Setup,Tester/DUT Setup_ERR,Tester/DUT Setup_ERR_ERR
FINAL_RESULT_FLAG^^CritialErrAfeBorwnOutFailed_1181^^CRI_ERR_PreTest,Tester/DUT Setup,Tester/DUT Setup_ERR,Tester/DUT Setup_ERR_ERR
FINAL_RESULT_FLAG^^CsigDataCaptureFailed_1167^^NA,DTN/DTX,CsigDataCapture,CsigDataCapture
FINAL_RESULT_FLAG^^CsigMagOOS_1161^^CSIG_MAG_F0_REG10_Min,Analog Test,Analog Test_CSIG_MAG,Analog Test_CSIG_MAG_REG Min/Max
FINAL_RESULT_FLAG^^CsigMagOOS_1161^^CSIG_MAG_F0_REG05_Min,Analog Test,Analog Test_CSIG_MAG,Analog Test_CSIG_MAG_REG Min/Max
FINAL_RESULT_FLAG^^CsigMagOOS_1161^^CSIG_MAG_F0_REG08_Min,Analog Test,Analog Test_CSIG_MAG,Analog Test_CSIG_MAG_REG Min/Max
FINAL_RESULT_FLAG^^DDServerSchemaVerNotDefined_2094^^NA,DDServerSchemaVerNotDefined,DDServerSchemaVerNotDefined,DDServerSchemaVerNotDefined
FINAL_RESULT_FLAG^^DisplayCheckHeronModuleConfigFail_1274^^NA,DisplayCheckHeronModuleConfig,DisplayCheckHeronModuleConfig,DisplayCheckHeronModuleConfig
FINAL_RESULT_FLAG^^DisplayDICCheckFail_1278^^DSP_VBAT_Curr_PowerOn_mA,Power Test,Power Test_VBAT,Power Test_VBAT
FINAL_RESULT_FLAG^^DisplayDICCheckFail_1278^^NA,DisplayDICCheckFail,DisplayDICCheckFail,DisplayDICCheckFail
FINAL_RESULT_FLAG^^DisplayPCDDataOOS_1224^^PCD_Res_KOhm,PCD,PCD,PCD
FINAL_RESULT_FLAG^^DisplayPowerOnFailed_1208^^DSP_VBAT_Curr_PowerOn_mA,Power Test,DisplayPowerOn,Power Test_VBAT
FINAL_RESULT_FLAG^^DisplayPowerOnFailed_1208^^NA,Power Test,DisplayPowerOn,DisplayPowerOn
FINAL_RESULT_FLAG^^DisplayPowerOnFailedGpioCheck_1202^^NA,Power Test,DisplayPowerOnGPIO,DisplayPowerOnGPIO
FINAL_RESULT_FLAG^^DisplayPowerOnFailedGpioCheck_1202^^DSP_VBAT_Curr_PowerOn_mA,Power Test,DisplayPowerOnGPIO,DisplayPowerOnGPIO
FINAL_RESULT_FLAG^^DisplaySetImageFailed_1210^^DSP_VBAT_Curr_IMG5_mA,DisplaySetImageFailed,DisplaySetImageFailed,DisplaySetImageFailed
FINAL_RESULT_FLAG^^DisplaySetImageFailed_1210^^DSP_VBAT_Curr_IMG0_mA,DisplaySetImageFailed,DisplaySetImageFailed,DisplaySetImageFailed
FINAL_RESULT_FLAG^^DisplaySetImageFailed_1210^^NA,DisplaySetImageFailed,DisplaySetImageFailed,DisplaySetImageFailed
FINAL_RESULT_FLAG^^DisplaySetImageFailed_1210^^DSP_VBAT_Curr_IMG4_mA,DisplaySetImageFailed,DisplaySetImageFailed,DisplaySetImageFailed
FINAL_RESULT_FLAG^^DisplaySetImageFailed_1210^^DSP_VBAT_Curr_IMG3_mA,DisplaySetImageFailed,DisplaySetImageFailed,DisplaySetImageFailed
FINAL_RESULT_FLAG^^DisplaySetImageFailed_1210^^DSP_VBAT_Curr_IMG2_mA,DisplaySetImageFailed,DisplaySetImageFailed,DisplaySetImageFailed
FINAL_RESULT_FLAG^^DisplaySetImageFailed_1210^^DSP_VBAT_Curr_IMG1_mA,DisplaySetImageFailed,DisplaySetImageFailed,DisplaySetImageFailed
FINAL_RESULT_FLAG^^DisplaySetRefreshRateFailed_1271^^NA,DisplaySetRefreshRateFailed,DisplaySetRefreshRateFailed,DisplaySetRefreshRateFailed
FINAL_RESULT_FLAG^^DTN_AP_OOS_2065^^ShapeSuitability_AEM_SIG39_F0_REG08_Max,DTN/DTX,DTN,DTN/DTX_ShapeSuitability_AEM
FINAL_RESULT_FLAG^^DTN_AP_OOS_2065^^ShapeSuitability_ONZ_SIG01_F2_REG01_Max,DTN/DTX,DTN,DTN/DTX_ShapeSuitability_ONZ
FINAL_RESULT_FLAG^^DTN_GRES_OOS_2058^^B_DefaultResDTN_SPA_F2_IMGALL_REG15,DTN/DTX,DTN,DTN/DTX_DefaultResDTN_IMGALL
FINAL_RESULT_FLAG^^DTN_GRES_OOS_2058^^B_DefaultResDTN_RXCM_F0_IMGUI_REG13,DTN/DTX,DTN,DTN/DTX_DefaultResDTN_IMGUI
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F0_IMG1_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_RXCM_F0_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F3_IMG1_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F4_IMG3_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_SPA_F0_IMG1_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_MC_F0_IMG3_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F2_IMG1_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F0_IMGALL_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F2_IMG0_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F0_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
